date,type,operator,fatalities,location,country,cat,year
14-JUL-1935,Fokker F.XXII,KLM,6.0,near Amsterdam-Schiph...,Netherlands,A1,1935
17-JUL-1935,Douglas DC-2-115E,KLM,0.0,Bushehr (Bushire...,Iran,A1,1935
20-JUL-1935,Douglas DC-2-115E,KLM,13.0,Pian San Giacomo,Switzerland,A1,1935
22-JUL-1935,Junkers Ju-52/3m,German AF,11.0,HanskÃ¼hnenburg,Germany,A1,1935
27-JUL-1935,Curtiss AT-32B Condor II,American Airways,0.0,"Murfreesboro, TN",USA,A1,1935
03-AUG-1935,Douglas DC-2-112,TWA,0.0,"near Albuquerque, NM",USA,A1,1935
02-OCT-1935,DH.86 Express,Holyman's Airways,5.0,"near Flinders Island,...",Australia,A1,1935
06-OCT-1935,Douglas DC-2A-127,Standard Oil Company,3.0,"Great Salt Lake, UT",USA,A1,1935
21-OCT-1935,Curtiss Condor 18,Chamberlin Flying Service,1.0,"Troy, NY",USA,A1,1935
22-OCT-1935,DH.86 Express,Imperial Airways,0.0,Zwettl,Austria,A1,1935
24-OCT-1935,Ford 5-AT-C Tri-Motor,Private,0.0,Hankow,China,C1,1935
25-OCT-1935,Boulton Paul P.71A,Imperial Airways,0.0,Brussel-Haren Ai...,Belgium,A1,1935
07-NOV-1935,Savoia-Marchetti S.73P,Sabena,0.0,London-Croydon A...,U.K.,A1,1935
09-NOV-1935,Ford 5-AT-.  Tri-Motor,TACA de Honduras,0.0,near Jutiapa,Honduras,A1,1935
09-NOV-1935,Short S.17 Kent,Imperial Airways,0.0,Brindisi,Italy,O1,1935
18-NOV-1935,Junkers G.24he,Syndicato Condor,0.0,"IlhÃ©us, BA",Brazil,A1,1935
23-NOV-1935,DH.66 Hercules,Imperial Airways,6.146275647879436,Lake Salisbury,Uganda,A1,1935
10-DEC-1935,Savoia-Marchetti S.73,Sabena,11.0,Tatsfield,U.K.,A1,1935
10-DEC-1935,Potez 62,Air France,0.0,near Auxerre,France,A1,1935
24-DEC-1935,Ford 5-AT-D Tri-Motor,Panagra,6.146275647879436,Lima,Peru,A1,1935
31-DEC-1935,Short S.8 Calcutta,Imperial Airways,12.0,near Alexandria,Egypt,A1,1935
14-JAN-1936,Douglas DC-2-120,American Airlines,17.0,"Goodwin, AR",USA,A1,1936
14-JAN-1936,Junkers Ju-52/3m,Colombian AF,13.0,near Tres Esquinas Ai...,Colombia,A1,1936
17-JAN-1936,Junkers Ju-52/3mce,LAB,13.0,near Cochabamba,Bolivia,A1,1936
28-FEB-1936,Douglas DC-2-115B,Swissair,0.0,ZÃ¼rich-DÃ¼bendo...,Switzerland,A1,1936
05-MAR-1936,Ford 5-AT-D Tri-Motor,CNAC,0.0,near Zigong,China,A1,1936
16-MAR-1936,Junkers Ju-52/3m,ÃLAG,0.0,Saualpe,Austria,A1,1936
26-MAR-1936,Ford 5-AT-B Tri-Motor,Mexicana,14.0,near Amecameca de JuÃ...,Mexico,A1,1936
31-MAR-1936,Ford 5-AT-D Tri-Motor,CNAC,0.0,Nanking Airport ...,China,A1,1936
07-APR-1936,Douglas DC-2-112,TWA,12.0,"near Fairchance, PA",USA,A1,1936
11-APR-1936,Sikorsky S-42,Pan Am,3.0,Port of Spain,Trinidad & Tobago,A2,1936
17-APR-1936,Junkers Ju-52/3m,Deutsche Lufthansa,3.0,Orvin (Ilfingen),Switzerland,A1,1936
20-APR-1936,Douglas DC-2-115K,CLS,0.0,near Elburg,Netherlands,A1,1936
