,date,type,operator,fatalities,location,country,cat,year,is_fatal,decade,severity
17429,18-AUG-1993,Dc-8-61,Connie Kalitta,0.0,GuantÃ¡namo NAS ...,Cuba,A1,1993,0,1990,No Fatalities
17430,19-AUG-1993,Dhc-3 Otter,Ketchum Air Service,0.0,"near Iliamna, AK",USA,A1,1993,0,1990,No Fatalities
17431,20-AUG-1993,Antonov An-12Tb,Komi Avia,0.0,near Slavgorod,Russia,A1,1993,0,1990,No Fatalities
17432,22-AUG-1993,Canadair Cl-215,Hellenic AF,2.0,PÃ¡tras,Greece,A1,1993,1,1990,Low Fatalities
17433,23-AUG-1993,Antonov An-12,Russian AF,6.0,"near Krasnoslobodsk, ...",Russia,A1,1993,1,1990,Low Fatalities
17434,26-AUG-1993,Cessna 208A Caravan I,TAM,0.0,"Sinop Airport, M...",Brazil,H1,1993,0,1990,No Fatalities
17435,26-AUG-1993,Dassault Falcon 10,BAC,0.0,Hailey-Friedman ...,USA,A1,1993,0,1990,No Fatalities
17436,26-AUG-1993,Let L-410Uvp-E,Sakha Avia,24.0,near Aldan Airport (ADH),Russia,A1,1993,1,1990,Medium Fatalities
17437,26-AUG-1993,Md-11C,Alitalia,0.0,"near Boulder, NV",USA,A2,1993,0,1990,No Fatalities
17438,27-AUG-1993,Boeing 737-2R4C,Alyemda,0.0,Al Ghaydah Airpo...,Yemen,H2,1993,0,1990,No Fatalities
17439,28-AUG-1993,Antonov An-28,Hungarian Aeronautical Ass.,0.0,near Weston on the Green,U.K.,A1,1993,0,1990,No Fatalities
17440,28-AUG-1993,Yakovlev Yak-40,Tajikistan Airlines,82.0,near Khorog,Tajikistan,A1,1993,1,1990,High Fatalities
17441,29-AUG-1993,Antonov An-26,Magnitogorsk Avia,0.0,Donetsk Airport ...,Ukraine,A1,1993,0,1990,No Fatalities
17442,31-AUG-1993,Cessna F406 Caravan Ii,Private,0.0,Strasbourg,France,A1,1993,0,1990,No Fatalities
17443,31-AUG-1993,Douglas R4D-5 (Dc-3),Transoriente Colombia,2.0,Barrancominas Ai...,Colombia,A1,1993,1,1990,Low Fatalities
17444,31-AUG-1993,Curtiss C-46F,Aerosol,0.0,La Colina Airport,Colombia,A1,1993,0,1990,No Fatalities
17445,01-SEP-1993,Tupolev Tu-154,Aeroflot,0.0,Vladivostok Airp...,Russia,H2,1993,0,1990,No Fatalities
17446,02-SEP-1993,Learjet 25D,TAESA,0.0,Tijuana-Rodrigue...,Mexico,A1,1993,0,1990,No Fatalities
17447,03-SEP-1993,Rockwell Sabreliner 40A,Aero Condor,0.0,Buenos Aires-Jor...,Argentina,A1,1993,0,1990,No Fatalities
17448,05-SEP-1993,Boeing 727-281,Dominicana,0.0,Santo Domingo-La...,Dominican Rep.,A1,1993,0,1990,No Fatalities
17449,05-SEP-1993,Learjet 25D,CambridgeÂ Aviation,7.0,"near Pecos, NM",USA,A1,1993,1,1990,Low Fatalities
17450,06-SEP-1993,Cessna 208 Caravan I,Andaman and Nicobar Adm.,1.0,near Port Blair,India,A1,1993,1,1990,Low Fatalities
17451,06-SEP-1993,Boeing 767-209,Air New Zealand,0.0,Los Angeles Inte...,USA,A2,1993,0,1990,No Fatalities
17452,07-SEP-1993,Hawker Siddeley Hs-748,Airfast Indonesia,0.0,Tanahmerah Airpo...,Indonesia,A1,1993,0,1990,No Fatalities
17453,12-SEP-1993,Boeing 747-428,Air France,0.0,Papeete-Faaa Air...,French Polynesia,A2,1993,0,1990,No Fatalities
17454,13-SEP-1993,Curtiss C-46A,Frigorifico Santa Rita,0.0,Angora,Bolivia,A1,1993,0,1990,No Fatalities
17455,14-SEP-1993,Convair Cv-440,SASA,0.0,near Colquemarca,Peru,A1,1993,0,1990,No Fatalities
17456,14-SEP-1993,Airbus A320-211,Lufthansa,2.0,Warszawa-Okecie ...,Poland,A1,1993,1,1990,Low Fatalities
17457,15-SEP-1993,Tupolev Tu-134,Aeroflot,0.0,"Kiev, Oslo",Norway,H2,1993,0,1990,No Fatalities
17458,15-SEP-1993,Antonov An-2R,Far East Airlines,6.146275647879436,near Vladivostok,Russia,A1,1993,1,1990,Low Fatalities
